HOG_GENE_A	HOG_GENE_B	COMP_GENE_A	COMP_GENE_B
HOG0006952	HOG0015307	AT5G47390	AT1G30970
HOG0006952	HOG0015342	AT5G47390	AT2G27680
HOG0006952	HOG0015442	AT5G47390	AT5G59400
HOG0006952	HOG0015559	AT5G47390	AT2G25355
HOG0006952	HOG0015637	AT5G47390	AT2G14260
HOG0006952	HOG0015750	AT5G47390	AT1G08780
HOG0006952	HOG0015868	AT5G47390	AT3G44380
HOG0006952	HOG0016162	AT5G47390	AT3G09890
HOG0006952	HOG0016269	AT5G47390	AT1G44835
HOG0006952	HOG0016656	AT5G47390	AT1G34630
HOG0006952	HOG0016782	AT5G47390	AT1G14140
HOG0006952	HOG0017017	AT5G47390	AT5G63440
HOG0006952	HOG0017067	AT5G47390	AT5G19300
HOG0006952	HOG0017093	AT5G47390	AT3G12685
HOG0006952	HOG0017194	AT5G47390	AT5G19500
HOG0006952	HOG0017290	AT5G47390	AT5G40840
HOG0006952	HOG0017457	AT5G47390	AT3G12930
HOG0006952	HOG0017732	AT5G47390	AT4G19150
HOG0006952	HOG0017926	AT5G47390	AT2G26900
HOG0006952	HOG0018405	AT5G47390	AT4G00030
HOG0006952	HOG0018432	AT5G47390	AT4G29540
HOG0006952	HOG0018460	AT5G47390	AT1G74580
HOG0006952	HOG0018866	AT5G47390	AT1G35420
HOG0006952	HOG0018867	AT5G47390	AT3G27420
HOG0006952	HOG0019032	AT5G47390	AT1G80080
HOG0006952	HOG0019125	AT5G47390	AT5G17670
HOG0006952	HOG0019161	AT5G47390	AT1G08610
HOG0006952	HOG0019429	AT5G47390	AT2G04790
HOG0006952	HOG0019546	AT5G47390	AT5G11530
HOG0006952	HOG0020091	AT5G47390	AT5G60050
HOG0006971	HOG0014626	AT1G56190	AT3G02510
HOG0006971	HOG0016454	AT1G56190	AT3G24650
HOG0006971	HOG0017972	AT1G56190	AT2G04740
HOG0006971	HOG0018098	AT1G56190	AT3G12100
HOG0006971	HOG0018175	AT1G56190	AT1G74970
HOG0006971	HOG0018436	AT1G56190	AT2G42975
HOG0006971	HOG0020624	AT1G56190	AT1G23450
HOG0006973	HOG0014017	AT5G45800	AT3G48150
HOG0006973	HOG0015299	AT5G45800	AT5G60960
HOG0006973	HOG0019093	AT5G45800	AT1G67840
HOG0006973	HOG0020557	AT5G45800	AT5G65500
HOG0006977	HOG0008180	AT5G45920	AT4G35000
HOG0006980	HOG0008704	AT3G55260	AT2G18860
HOG0006980	HOG0009014	AT3G55260	AT2G38280
HOG0006980	HOG0009117	AT3G55260	AT1G47720
HOG0006980	HOG0009253	AT3G55260	AT1G08700
HOG0006980	HOG0009342	AT3G55260	AT3G53170
HOG0006980	HOG0009734	AT3G55260	AT5G06180
HOG0006980	HOG0011882	AT3G55260	AT5G62290
HOG0006980	HOG0011955	AT3G55260	AT4G34100
HOG0006980	HOG0012252	AT3G55260	AT2G18000
HOG0006980	HOG0012420	AT3G55260	AT4G12620
HOG0006980	HOG0012433	AT3G55260	AT4G26170
HOG0006980	HOG0012485	AT3G55260	AT1G72880
HOG0006980	HOG0012783	AT3G55260	AT1G66520
HOG0006980	HOG0012827	AT3G55260	AT4G39960
HOG0006980	HOG0012866	AT3G55260	AT3G59800
HOG0006980	HOG0012867	AT3G55260	AT2G43720
HOG0006980	HOG0012976	AT3G55260	AT1G18830
HOG0006980	HOG0013000	AT3G55260	AT3G03500
HOG0006980	HOG0013102	AT3G55260	AT5G37475
HOG0006980	HOG0013162	AT3G55260	AT1G30510
HOG0006980	HOG0013224	AT3G55260	AT5G56090
HOG0006980	HOG0013464	AT3G55260	AT1G14570
HOG0006980	HOG0013649	AT3G55260	AT4G37210
HOG0006980	HOG0013771	AT3G55260	AT2G30410
HOG0006980	HOG0013823	AT3G55260	AT1G80360
HOG0006980	HOG0014214	AT3G55260	AT3G13940
HOG0006980	HOG0014265	AT3G55260	AT5G53620
HOG0006980	HOG0014300	AT3G55260	AT3G23980
HOG0006980	HOG0014448	AT3G55260	AT5G18570
HOG0006980	HOG0014560	AT3G55260	AT2G27900
HOG0006980	HOG0014575	AT3G55260	AT1G68660
HOG0006980	HOG0014668	AT3G55260	AT5G13520
HOG0006980	HOG0015343	AT3G55260	AT3G16010
HOG0006980	HOG0015469	AT3G55260	AT5G26240
HOG0006980	HOG0015490	AT3G55260	AT4G13670
HOG0006980	HOG0015673	AT3G55260	AT5G38720
HOG0006980	HOG0015742	AT3G55260	AT2G48000
HOG0006980	HOG0015800	AT3G55260	AT1G66510
HOG0006980	HOG0015886	AT3G55260	AT1G15960
HOG0006980	HOG0016022	AT3G55260	AT3G43540
HOG0006980	HOG0016173	AT3G55260	AT2G17695
HOG0006980	HOG0016194	AT3G55260	AT2G34860
HOG0006980	HOG0016314	AT3G55260	AT5G50100
HOG0006980	HOG0016405	AT3G55260	AT5G25580
HOG0006980	HOG0016428	AT3G55260	AT5G06590
HOG0006980	HOG0016450	AT3G55260	AT1G35660
HOG0006980	HOG0016485	AT3G55260	AT1G79915
HOG0006980	HOG0016487	AT3G55260	AT1G16540
HOG0006980	HOG0016633	AT3G55260	AT3G06960
HOG0006980	HOG0016659	AT3G55260	AT1G49880
HOG0006980	HOG0017031	AT3G55260	AT2G02570
HOG0006980	HOG0017309	AT3G55260	AT3G10060
HOG0006980	HOG0017385	AT3G55260	AT2G36730
HOG0006980	HOG0017479	AT3G55260	AT5G43940
HOG0006980	HOG0017627	AT3G55260	AT1G71310
HOG0006980	HOG0017944	AT3G55260	AT1G51080
HOG0006980	HOG0017948	AT3G55260	AT4G13450
HOG0006980	HOG0018002	AT3G55260	AT5G42850
HOG0006980	HOG0018146	AT3G55260	AT1G56090
HOG0006980	HOG0018396	AT3G55260	AT2G45530
HOG0006980	HOG0018579	AT3G55260	AT1G28140
HOG0006980	HOG0018583	AT3G55260	AT5G64860
HOG0006980	HOG0018770	AT3G55260	AT2G42820
HOG0006980	HOG0018873	AT3G55260	AT2G42560
HOG0006980	HOG0019036	AT3G55260	AT4G22600
HOG0006990	HOG0010650	AT5G66720	AT4G24530
HOG0006990	HOG0010812	AT5G66720	AT4G29880
HOG0006990	HOG0014039	AT5G66720	AT5G50320
HOG0006990	HOG0015120	AT5G66720	AT5G42400
HOG0006990	HOG0015811	AT5G66720	AT5G04200
HOG0006990	HOG0016045	AT5G66720	AT1G32550
HOG0006990	HOG0016160	AT5G66720	AT5G47570
HOG0006990	HOG0016655	AT5G66720	AT5G56460
HOG0006990	HOG0017054	AT5G66720	AT2G03070
HOG0006990	HOG0018150	AT5G66720	AT1G64680
HOG0006990	HOG0018620	AT5G66720	AT2G42350
HOG0006993	HOG0009727	AT3G06480	AT5G22750
HOG0006993	HOG0012256	AT3G06480	AT4G38430
HOG0006993	HOG0013839	AT3G06480	AT4G24680
HOG0006993	HOG0016702	AT3G06480	AT5G50310
HOG0006993	HOG0016866	AT3G06480	AT2G29630
HOG0006993	HOG0017177	AT3G06480	AT3G25440
HOG0006993	HOG0017188	AT3G06480	AT2G24800
HOG0006993	HOG0017255	AT3G06480	AT1G01770
HOG0006993	HOG0017402	AT3G06480	AT5G22260
HOG0006993	HOG0018461	AT3G06480	AT1G18270
HOG0006993	HOG0019124	AT3G06480	AT5G51310
HOG0006994	HOG0012771	AT3G01540	AT3G11830
HOG0006994	HOG0018213	AT3G01540	AT3G14900
HOG0007008	HOG0011244	AT4G37910	AT1G56110
HOG0007008	HOG0012330	AT4G37910	AT2G31030
HOG0007008	HOG0012370	AT4G37910	AT1G09330
HOG0007008	HOG0012398	AT4G37910	AT3G45600
HOG0007008	HOG0015420	AT4G37910	AT4G13577
HOG0007008	HOG0017903	AT4G37910	AT4G00140
HOG0007008	HOG0019034	AT4G37910	AT4G00300
HOG0007008	HOG0020978	AT4G37910	AT3G42725
HOG0007011	HOG0007322	AT1G11790	AT1G01610
HOG0007011	HOG0007345	AT1G11790	AT1G36050
HOG0007011	HOG0007900	AT1G11790	AT4G10650
HOG0007011	HOG0008325	AT1G11790	AT3G57520
HOG0007011	HOG0008446	AT1G11790	AT5G43860
HOG0007011	HOG0008938	AT1G11790	AT3G07420
HOG0007011	HOG0009181	AT1G11790	AT5G24170
HOG0007011	HOG0010684	AT1G11790	AT3G01170
HOG0007011	HOG0011229	AT1G11790	AT3G19270
HOG0007011	HOG0011893	AT1G11790	AT1G32060
HOG0007011	HOG0012037	AT1G11790	AT1G77250
HOG0007011	HOG0012345	AT1G11790	AT1G78922
HOG0007011	HOG0013425	AT1G11790	AT2G36640
HOG0007011	HOG0013637	AT1G11790	AT5G55130
HOG0007011	HOG0013654	AT1G11790	AT4G21820
HOG0007011	HOG0013705	AT1G11790	AT5G14950
HOG0007011	HOG0014130	AT1G11790	AT1G58120
HOG0007011	HOG0014209	AT1G11790	AT5G60700
HOG0007011	HOG0014323	AT1G11790	AT5G54260
HOG0007011	HOG0015330	AT1G11790	AT2G47770
HOG0007011	HOG0015602	AT1G11790	AT3G28210
HOG0007011	HOG0015797	AT1G11790	AT1G53330
HOG0007011	HOG0016204	AT1G11790	AT4G16450
HOG0007011	HOG0016317	AT1G11790	AT5G07910
HOG0007011	HOG0017545	AT1G11790	AT3G55330
HOG0007011	HOG0017872	AT1G11790	AT3G47440
HOG0007011	HOG0017921	AT1G11790	AT5G16020
HOG0007011	HOG0017969	AT1G11790	AT1G09157
HOG0007011	HOG0018187	AT1G11790	AT3G55390
HOG0007011	HOG0018731	AT1G11790	AT5G03910
HOG0007015	HOG0015433	AT2G13810	AT2G25100
HOG0007015	HOG0019258	AT2G13810	AT5G51680
HOG0007018	HOG0017876	AT5G63530	AT5G53930
HOG0007018	HOG0017934	AT5G63530	AT3G03100
HOG0007026	HOG0009560	AT2G17870	AT5G54300
HOG0007026	HOG0011757	AT2G17870	AT5G23540
HOG0007026	HOG0012722	AT2G17870	AT1G66750
HOG0007026	HOG0013989	AT2G17870	AT5G18250
HOG0007026	HOG0014198	AT2G17870	AT2G19690
HOG0007026	HOG0016490	AT2G17870	AT4G26980
HOG0007026	HOG0016954	AT2G17870	AT4G29490
HOG0007026	HOG0017377	AT2G17870	AT1G75690
HOG0007035	HOG0010206	AT5G24520	AT4G37650
HOG0007035	HOG0015141	AT5G24520	AT2G42450
HOG0007035	HOG0017038	AT5G24520	AT1G05440
HOG0007035	HOG0017916	AT5G24520	AT3G18390
HOG0007035	HOG0018760	AT5G24520	AT3G12650
HOG0007035	HOG0021008	AT5G24520	AT1G24290
HOG0007036	HOG0009722	AT3G26640	AT3G52980
HOG0007036	HOG0010116	AT3G26640	AT4G12070
HOG0007036	HOG0011637	AT3G26640	AT1G48605
HOG0007036	HOG0011950	AT3G26640	AT3G19980
HOG0007036	HOG0012501	AT3G26640	AT1G74440
HOG0007036	HOG0014974	AT3G26640	AT5G13950
HOG0007036	HOG0016337	AT3G26640	AT5G07020
HOG0007036	HOG0019001	AT3G26640	AT1G66080
HOG0007036	HOG0019131	AT3G26640	AT2G01755
HOG0007043	HOG0014637	AT5G51710	AT5G13070
HOG0007043	HOG0018845	AT5G51710	AT1G03510
HOG0007044	HOG0013062	AT2G19600	AT2G25090
HOG0007044	HOG0016140	AT2G19600	AT2G38020
HOG0007045	HOG0010953	AT5G20270	AT5G04930
HOG0007045	HOG0011876	AT5G20270	AT3G50110
HOG0007045	HOG0015026	AT5G20270	AT1G48950
HOG0007045	HOG0015725	AT5G20270	AT4G39820
HOG0007045	HOG0015882	AT5G20270	AT3G14930
HOG0007045	HOG0016132	AT5G20270	AT5G42310
HOG0007045	HOG0017335	AT5G20270	AT2G16440
HOG0007045	HOG0017443	AT5G20270	AT3G10970
HOG0007045	HOG0018835	AT5G20270	AT5G62030
HOG0007045	HOG0019146	AT5G20270	AT5G18390
HOG0007046	HOG0007151	AT4G30850	AT2G03620
HOG0007046	HOG0013797	AT4G30850	AT3G48560
HOG0007046	HOG0014811	AT4G30850	AT3G20920
HOG0007046	HOG0015452	AT4G30850	AT5G13760
HOG0007046	HOG0016074	AT4G30850	AT2G47960
HOG0007046	HOG0017058	AT4G30850	AT2G04540
HOG0007046	HOG0017299	AT4G30850	AT1G69910
HOG0007046	HOG0017940	AT4G30850	AT3G60680
HOG0007046	HOG0018590	AT4G30850	AT4G03150
HOG0007046	HOG0019008	AT4G30850	AT5G47710
HOG0007046	HOG0019135	AT4G30850	AT1G52640
HOG0007046	HOG0019303	AT4G30850	AT3G18930
HOG0007047	HOG0008191	AT5G08100	AT3G15000
HOG0007047	HOG0010579	AT5G08100	AT1G15000
HOG0007047	HOG0013327	AT5G08100	AT3G56160
HOG0007047	HOG0013522	AT5G08100	AT4G04980
HOG0007047	HOG0013977	AT5G08100	AT5G23600
HOG0007047	HOG0014350	AT5G08100	AT3G15820
HOG0007047	HOG0015256	AT5G08100	AT5G27290
HOG0007047	HOG0015792	AT5G08100	AT5G40820
HOG0007047	HOG0016059	AT5G08100	AT3G21060
HOG0007047	HOG0016315	AT5G08100	AT5G15710
HOG0007047	HOG0017486	AT5G08100	AT5G20380
HOG0007063	HOG0008529	AT4G30430	AT2G42910
HOG0007063	HOG0008927	AT4G30430	AT1G06050
HOG0007063	HOG0009515	AT4G30430	AT5G57100
HOG0007063	HOG0009873	AT4G30430	AT5G41390
HOG0007063	HOG0010458	AT4G30430	AT5G48030
HOG0007063	HOG0010722	AT4G30430	AT3G47520
HOG0007063	HOG0011424	AT4G30430	AT1G79470
HOG0007063	HOG0012656	AT4G30430	AT5G21100
HOG0007063	HOG0013798	AT4G30430	AT4G34090
HOG0007063	HOG0014054	AT4G30430	AT5G16260
HOG0007063	HOG0014193	AT4G30430	AT5G24740
HOG0007063	HOG0014240	AT4G30430	AT2G44065
HOG0007063	HOG0015060	AT4G30430	AT5G62600
HOG0007063	HOG0015202	AT4G30430	AT5G16420
HOG0007063	HOG0015204	AT4G30430	AT3G12530
HOG0007063	HOG0015291	AT4G30430	AT5G37510
HOG0007063	HOG0016237	AT4G30430	AT2G15230
HOG0007063	HOG0016628	AT4G30430	AT3G01380
HOG0007063	HOG0016662	AT4G30430	AT5G63920
HOG0007063	HOG0016726	AT4G30430	AT5G46840
HOG0007063	HOG0016922	AT4G30430	AT1G04200
HOG0007063	HOG0016976	AT4G30430	AT2G38500
HOG0007063	HOG0017495	AT4G30430	AT5G19350
HOG0007063	HOG0017573	AT4G30430	AT1G66345
HOG0007063	HOG0017586	AT4G30430	AT2G44420
HOG0007063	HOG0018108	AT4G30430	AT2G42710
HOG0007063	HOG0018770	AT4G30430	AT2G42820
HOG0007063	HOG0018860	AT4G30430	AT4G14000
HOG0007063	HOG0019520	AT4G30430	AT1G53600
HOG0007068	HOG0007956	AT1G44180	AT2G25140
HOG0007068	HOG0015523	AT1G44180	AT1G48360
HOG0007068	HOG0015701	AT1G44180	AT3G12350
HOG0007068	HOG0016532	AT1G44180	AT1G29990
HOG0007068	HOG0016565	AT1G44180	AT1G76400
HOG0007068	HOG0019140	AT1G44180	AT5G24850
HOG0007069	HOG0007352	AT4G38220	AT2G34690
HOG0007069	HOG0007751	AT4G38220	AT3G17850
HOG0007069	HOG0007956	AT4G38220	AT2G25140
HOG0007069	HOG0008939	AT4G38220	AT1G70980
HOG0007069	HOG0009064	AT4G38220	AT4G30400
HOG0007069	HOG0009866	AT4G38220	AT2G39820
HOG0007069	HOG0010378	AT4G38220	AT4G06598
HOG0007069	HOG0010468	AT4G38220	AT4G17260
HOG0007069	HOG0010794	AT4G38220	AT1G10560
HOG0007069	HOG0010959	AT4G38220	AT5G09720
HOG0007069	HOG0010969	AT4G38220	AT4G31480
HOG0007069	HOG0011252	AT4G38220	AT1G63210
HOG0007069	HOG0011868	AT4G38220	AT2G23096
HOG0007069	HOG0011918	AT4G38220	AT1G50890
HOG0007069	HOG0012228	AT4G38220	AT1G17520
HOG0007069	HOG0012302	AT4G38220	AT4G11860
HOG0007069	HOG0012907	AT4G38220	AT3G49830
HOG0007069	HOG0013044	AT4G38220	AT3G03490
HOG0007069	HOG0013050	AT4G38220	AT2G44860
HOG0007069	HOG0013204	AT4G38220	AT4G03080
HOG0007069	HOG0013308	AT4G38220	AT5G58870
HOG0007069	HOG0013395	AT4G38220	AT2G04550
HOG0007069	HOG0013466	AT4G38220	AT3G58740
HOG0007069	HOG0013847	AT4G38220	AT5G64650
HOG0007069	HOG0013916	AT4G38220	AT1G77180
HOG0007069	HOG0014149	AT4G38220	AT4G02485
HOG0007069	HOG0014155	AT4G38220	AT2G22040
HOG0007069	HOG0014180	AT4G38220	AT5G05970
HOG0007069	HOG0014253	AT4G38220	AT5G23630
HOG0007069	HOG0014568	AT4G38220	AT2G18510
HOG0007069	HOG0014625	AT4G38220	AT2G22420
HOG0007069	HOG0014718	AT4G38220	AT5G41190
HOG0007069	HOG0014763	AT4G38220	AT4G20960
HOG0007069	HOG0015148	AT4G38220	AT2G20930
HOG0007069	HOG0015470	AT4G38220	AT3G26850
HOG0007069	HOG0015588	AT4G38220	AT4G03430
HOG0007069	HOG0015726	AT4G38220	AT5G40520
HOG0007069	HOG0015772	AT4G38220	AT2G31300
HOG0007069	HOG0016029	AT4G38220	AT3G05480
HOG0007069	HOG0016152	AT4G38220	AT2G25840
HOG0007069	HOG0016815	AT4G38220	AT3G08950
HOG0007069	HOG0016852	AT4G38220	AT5G45360
HOG0007069	HOG0016964	AT4G38220	AT5G42740
HOG0007069	HOG0017716	AT4G38220	AT2G22180
HOG0007069	HOG0017807	AT4G38220	AT1G74530
HOG0007069	HOG0018013	AT4G38220	AT1G24610
HOG0007069	HOG0018314	AT4G38220	AT2G22070
HOG0007069	HOG0018432	AT4G38220	AT4G29540
HOG0007069	HOG0018755	AT4G38220	AT4G12680
HOG0007069	HOG0019100	AT4G38220	AT1G09410
HOG0007069	HOG0019293	AT4G38220	AT4G18593
HOG0007069	HOG0019429	AT4G38220	AT2G04790
HOG0007069	HOG0019734	AT4G38220	AT2G36420
HOG0007069	HOG0020091	AT4G38220	AT5G60050
HOG0007069	HOG0020610	AT4G38220	AT1G58450
HOG0007072	HOG0008936	AT5G04740	AT3G06450
HOG0007072	HOG0009968	AT5G04740	AT3G10815
HOG0007072	HOG0013514	AT5G04740	AT5G37370
HOG0007072	HOG0014318	AT5G04740	AT4G35685
HOG0007072	HOG0015808	AT5G04740	AT4G39470
HOG0007072	HOG0016441	AT5G04740	AT5G49555
HOG0007072	HOG0017440	AT5G04740	AT2G24090
HOG0007072	HOG0017865	AT5G04740	AT5G62140
HOG0007072	HOG0018127	AT5G04740	AT2G41750
HOG0007072	HOG0018439	AT5G04740	AT5G26749
HOG0007072	HOG0018882	AT5G04740	AT2G03270
HOG0007073	HOG0012522	AT1G16880	AT1G11020
HOG0007073	HOG0013794	AT1G16880	AT3G26950
HOG0007073	HOG0015750	AT1G16880	AT1G08780
HOG0007073	HOG0017093	AT1G16880	AT3G12685
HOG0007073	HOG0017290	AT1G16880	AT5G40840
HOG0007073	HOG0017925	AT1G16880	AT5G11550
HOG0007073	HOG0018867	AT1G16880	AT3G27420
HOG0007073	HOG0018889	AT1G16880	AT5G02710
HOG0007076	HOG0012158	AT1G76110	AT5G16620
HOG0007076	HOG0013077	AT1G76110	AT4G14910
HOG0007076	HOG0014309	AT1G76110	AT5G06140
HOG0007076	HOG0015685	AT1G76110	AT1G77220
HOG0007076	HOG0015957	AT1G76110	AT5G65860
HOG0007076	HOG0017879	AT1G76110	AT5G51700
HOG0007076	HOG0019072	AT1G76110	AT4G37445
HOG0007080	HOG0008086	AT1G68740	AT2G17950
HOG0007080	HOG0009259	AT1G68740	AT1G05310
HOG0007080	HOG0009563	AT1G68740	AT1G28470
HOG0007080	HOG0009722	AT1G68740	AT3G52980
HOG0007080	HOG0009804	AT1G68740	AT2G20830
HOG0007080	HOG0009873	AT1G68740	AT5G41390
HOG0007080	HOG0009928	AT1G68740	AT1G48970
HOG0007080	HOG0010116	AT1G68740	AT4G12070
HOG0007080	HOG0010722	AT1G68740	AT3G47520
HOG0007080	HOG0010774	AT1G68740	AT4G39460
HOG0007080	HOG0011018	AT1G68740	AT2G24070
HOG0007080	HOG0011590	AT1G68740	AT2G37730
HOG0007080	HOG0011851	AT1G68740	AT2G40810
HOG0007080	HOG0011950	AT1G68740	AT3G19980
HOG0007080	HOG0012123	AT1G68740	AT2G29020
HOG0007080	HOG0012209	AT1G68740	AT2G20770
HOG0007080	HOG0013203	AT1G68740	AT2G38620
HOG0007080	HOG0013443	AT1G68740	AT2G36260
HOG0007080	HOG0013492	AT1G68740	AT3G51980
HOG0007080	HOG0014974	AT1G68740	AT5G13950
HOG0007080	HOG0015656	AT1G68740	AT5G50110
HOG0007080	HOG0015899	AT1G68740	AT5G12290
HOG0007080	HOG0015908	AT1G68740	AT2G42810
HOG0007080	HOG0016506	AT1G68740	AT5G19280
HOG0007080	HOG0016692	AT1G68740	AT3G59530
HOG0007080	HOG0017099	AT1G68740	AT3G54210
HOG0007080	HOG0017599	AT1G68740	AT3G56650
HOG0007080	HOG0017630	AT1G68740	AT1G05720
HOG0007080	HOG0017661	AT1G68740	AT1G61520
HOG0007080	HOG0017679	AT1G68740	AT3G51710
HOG0007080	HOG0017899	AT1G68740	AT1G11545
HOG0007080	HOG0018070	AT1G68740	AT3G01060
HOG0007080	HOG0018122	AT1G68740	AT1G46480
HOG0007080	HOG0018140	AT1G68740	AT2G20616
HOG0007080	HOG0018186	AT1G68740	AT4G15510
HOG0007080	HOG0018319	AT1G68740	AT4G29070
HOG0007080	HOG0018324	AT1G68740	AT2G13540
HOG0007080	HOG0018325	AT1G68740	AT1G04640
HOG0007080	HOG0018508	AT1G68740	AT1G27050
HOG0007080	HOG0018903	AT1G68740	AT1G19290
HOG0007080	HOG0019128	AT1G68740	AT5G46150
HOG0007080	HOG0019522	AT1G68740	AT1G48280
HOG0007080	HOG0020495	AT1G68740	AT4G00467
HOG0007096	HOG0011434	AT2G36960	AT3G16060
HOG0007097	HOG0007986	AT1G08060	AT1G10240
HOG0007097	HOG0008394	AT1G08060	AT5G16120
HOG0007097	HOG0008704	AT1G08060	AT2G18860
HOG0007097	HOG0008953	AT1G08060	AT3G13730
HOG0007097	HOG0009014	AT1G08060	AT2G38280
HOG0007097	HOG0009087	AT1G08060	AT2G18940
HOG0007097	HOG0009253	AT1G08060	AT1G08700
HOG0007097	HOG0009321	AT1G08060	AT3G18420
HOG0007097	HOG0009342	AT1G08060	AT3G53170
HOG0007097	HOG0009734	AT1G08060	AT5G06180
HOG0007097	HOG0010660	AT1G08060	AT1G09210
HOG0007097	HOG0011498	AT1G08060	AT2G27770
HOG0007097	HOG0011882	AT1G08060	AT5G62290
HOG0007097	HOG0011955	AT1G08060	AT4G34100
HOG0007097	HOG0012252	AT1G08060	AT2G18000
HOG0007097	HOG0012294	AT1G08060	AT5G03960
HOG0007097	HOG0012323	AT1G08060	AT3G20475
HOG0007097	HOG0012420	AT1G08060	AT4G12620
HOG0007097	HOG0012485	AT1G08060	AT1G72880
HOG0007097	HOG0012783	AT1G08060	AT1G66520
HOG0007097	HOG0012827	AT1G08060	AT4G39960
HOG0007097	HOG0012866	AT1G08060	AT3G59800
HOG0007097	HOG0012867	AT1G08060	AT2G43720
HOG0007097	HOG0012976	AT1G08060	AT1G18830
HOG0007097	HOG0013000	AT1G08060	AT3G03500
HOG0007097	HOG0013102	AT1G08060	AT5G37475
HOG0007097	HOG0013123	AT1G08060	AT3G09960
HOG0007097	HOG0013464	AT1G08060	AT1G14570
HOG0007097	HOG0013577	AT1G08060	AT3G51800
HOG0007097	HOG0013649	AT1G08060	AT4G37210
HOG0007097	HOG0013733	AT1G08060	AT2G02765
HOG0007097	HOG0013823	AT1G08060	AT1G80360
HOG0007097	HOG0014113	AT1G08060	AT5G22770
HOG0007097	HOG0014214	AT1G08060	AT3G13940
HOG0007097	HOG0014265	AT1G08060	AT5G53620
HOG0007097	HOG0014300	AT1G08060	AT3G23980
HOG0007097	HOG0014448	AT1G08060	AT5G18570
HOG0007097	HOG0014456	AT1G08060	AT5G66820
HOG0007097	HOG0014575	AT1G08060	AT1G68660
HOG0007097	HOG0014773	AT1G08060	AT3G61350
HOG0007097	HOG0015343	AT1G08060	AT3G16010
HOG0007097	HOG0015469	AT1G08060	AT5G26240
HOG0007097	HOG0015490	AT1G08060	AT4G13670
HOG0007097	HOG0015673	AT1G08060	AT5G38720
HOG0007097	HOG0015742	AT1G08060	AT2G48000
HOG0007097	HOG0015800	AT1G08060	AT1G66510
HOG0007097	HOG0015886	AT1G08060	AT1G15960
HOG0007097	HOG0016011	AT1G08060	AT2G27760
HOG0007097	HOG0016173	AT1G08060	AT2G17695
HOG0007097	HOG0016194	AT1G08060	AT2G34860
HOG0007097	HOG0016314	AT1G08060	AT5G50100
HOG0007097	HOG0016373	AT1G08060	AT5G44000
HOG0007097	HOG0016405	AT1G08060	AT5G25580
HOG0007097	HOG0016428	AT1G08060	AT5G06590
HOG0007097	HOG0016450	AT1G08060	AT1G35660
HOG0007097	HOG0016485	AT1G08060	AT1G79915
HOG0007097	HOG0016487	AT1G08060	AT1G16540
HOG0007097	HOG0016659	AT1G08060	AT1G49880
HOG0007097	HOG0017031	AT1G08060	AT2G02570
HOG0007097	HOG0017309	AT1G08060	AT3G10060
HOG0007097	HOG0017627	AT1G08060	AT1G71310
HOG0007097	HOG0017944	AT1G08060	AT1G51080
HOG0007097	HOG0018002	AT1G08060	AT5G42850
HOG0007097	HOG0018579	AT1G08060	AT1G28140
HOG0007097	HOG0019036	AT1G08060	AT4G22600
HOG0007103	HOG0013033	AT1G29330	AT5G17990
HOG0007103	HOG0013081	AT1G29330	AT3G19260
HOG0007103	HOG0014700	AT1G29330	AT5G54240
HOG0007103	HOG0015188	AT1G29330	AT3G03320
HOG0007103	HOG0015557	AT1G29330	AT4G32605
HOG0007103	HOG0016032	AT1G29330	AT5G12320
HOG0007103	HOG0016153	AT1G29330	AT1G69800
HOG0007103	HOG0016987	AT1G29330	AT1G11380
HOG0007103	HOG0017114	AT1G29330	AT1G34360
HOG0007103	HOG0018050	AT1G29330	AT4G17540
HOG0007103	HOG0019348	AT1G29330	AT1G32220
HOG0007105	HOG0007135	AT3G25040	AT5G23920
HOG0007105	HOG0007168	AT3G25040	AT4G01200
HOG0007105	HOG0007912	AT3G25040	AT5G41470
HOG0007105	HOG0008280	AT3G25040	AT3G19460
HOG0007105	HOG0008579	AT3G25040	AT4G34850
HOG0007105	HOG0008697	AT3G25040	AT2G45060
HOG0007105	HOG0008908	AT3G25040	AT3G25530
HOG0007105	HOG0009365	AT3G25040	AT1G71180
HOG0007105	HOG0009698	AT3G25040	AT5G55670
HOG0007105	HOG0009751	AT3G25040	AT3G21430
HOG0007105	HOG0009930	AT3G25040	AT5G66210
HOG0007105	HOG0010213	AT3G25040	AT3G53030
HOG0007105	HOG0010401	AT3G25040	AT2G45720
HOG0007105	HOG0011026	AT3G25040	AT1G68780
HOG0007105	HOG0011186	AT3G25040	AT4G34490
HOG0007105	HOG0011380	AT3G25040	AT3G57420
HOG0007105	HOG0011656	AT3G25040	AT1G09795
HOG0007105	HOG0011757	AT3G25040	AT5G23540
HOG0007105	HOG0012054	AT3G25040	AT1G79820
HOG0007105	HOG0012194	AT3G25040	AT5G50440
HOG0007105	HOG0012257	AT3G25040	AT2G45790
HOG0007105	HOG0012330	AT3G25040	AT2G31030
HOG0007105	HOG0012370	AT3G25040	AT1G09330
HOG0007105	HOG0012493	AT3G25040	AT1G31940
HOG0007105	HOG0012496	AT3G25040	AT5G15770
HOG0007105	HOG0012560	AT3G25040	AT1G20816
HOG0007105	HOG0012918	AT3G25040	AT4G32130
HOG0007105	HOG0013111	AT3G25040	AT2G46230
HOG0007105	HOG0013150	AT3G25040	AT4G32980
